Transcript Cluster ID	Gene Title	Gene Symbol	Entrez Gene ID	Cytoband	GO Description	Transcript Classification
8151898	chromosome 8 open reading frame 37	C8orf37	157657	8q22.1	cytoplasm /// plasma membrane /// cell junction /// cytoplasm	full-length
8151906	growth differentiation factor 6	GDF6	392255	8q22.1	cytokine activity /// transforming growth factor beta receptor binding /// extracellular space /// apoptotic process /// growth factor activity /// positive regulation of pathway-restricted SMAD protein phosphorylation /// BMP signaling pathway /// activin receptor signaling pathway /// growth /// protein homodimerization activity /// regulation of apoptotic process /// regulation of MAPK cascade /// positive regulation of neuron differentiation /// positive regulation of transcription, DNA-templated /// cell development /// pathway-restricted SMAD protein phosphorylation /// SMAD protein signal transduction /// retinal cell apoptotic process /// cytokine activity /// cytokine activity /// transforming growth factor beta receptor binding /// extracellular region /// extracellular space /// extracellular space /// apoptotic process /// multicellular organismal development /// regulation of apoptotic process /// regulation of MAPK cascade /// cell development /// SMAD protein signal transduction	full-length
8151931	TSPY-like 5	TSPYL5	85453	8q22.1	protein binding /// nucleus /// nucleosome assembly /// positive regulation of cell proliferation /// positive regulation of cell proliferation /// positive regulation of protein ubiquitination /// regulation of growth /// positive regulation of protein kinase B signaling /// cellular response to gamma radiation	full-length
8151935	ribosomal protein L30	RPL30	6156	8q22.2	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay /// cytoplasmic translation /// RNA binding /// structural constituent of ribosome /// structural constituent of ribosome /// protein binding /// nucleus /// cytoplasm /// cytosol /// focal adhesion /// translation /// translation /// translational initiation /// translational elongation /// translational termination /// SRP-dependent cotranslational protein targeting to membrane /// gene expression /// membrane /// viral process /// viral life cycle /// viral transcription /// cytosolic large ribosomal subunit /// cytosolic large ribosomal subunit /// cellular protein metabolic process /// poly(A) RNA binding /// extracellular exosome /// cytoplasmic translation /// structural constituent of ribosome /// intracellular /// ribosome /// translation /// ribonucleoprotein complex	full-length
8151942	heat-responsive protein 12	HRSP12	10247	8q22.2	kidney development /// nucleus /// cytoplasm /// mitochondrion /// peroxisome /// cytosol /// regulation of translational termination /// brain development /// endoribonuclease activity, producing 3'-phosphomonoesters /// negative regulation of translation /// deaminase activity /// lung development /// response to lipid /// long-chain fatty acid binding /// protein homodimerization activity /// poly(A) RNA binding /// transition metal ion binding /// negative regulation of epithelial cell proliferation /// extracellular exosome /// G1 to G0 transition /// RNA phosphodiester bond hydrolysis, endonucleolytic /// response to salt /// platinum binding /// xenon atom binding /// nuclease activity /// endonuclease activity /// nucleus /// cytoplasm /// hydrolase activity /// ion binding /// metabolic process /// nucleic acid phosphodiester bond hydrolysis	full-length
8151993	cytochrome c oxidase subunit VIc	COX6C	1345	8q22.2	cytochrome-c oxidase activity /// mitochondrion /// mitochondrial inner membrane /// generation of precursor metabolites and energy /// transcription initiation from RNA polymerase II promoter /// gene expression /// integral component of membrane /// respiratory electron transport chain /// cellular metabolic process /// small molecule metabolic process /// hydrogen ion transmembrane transport /// mitochondrion /// mitochondrial inner membrane /// membrane	full-length
8152062	sorting nexin 31	SNX31	169166	8q22.2 /// 8q22.3	protein binding /// early endosome /// intracellular protein transport /// phosphatidylinositol binding /// protein complex /// retrograde transport, endosome to plasma membrane /// early endosome /// transport /// intracellular protein transport /// protein transport /// phosphatidylinositol binding /// phosphatidylinositol binding /// retrograde transport, endosome to plasma membrane /// cytoskeleton /// protein binding	full-length
8152079	poly(A) binding protein, cytoplasmic 1	PABPC1	26986	8q22.3	nucleotide binding /// nuclear-transcribed mRNA catabolic process, nonsense-mediated decay /// nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay /// nuclear-transcribed mRNA poly(A) tail shortening /// mRNA splicing, via spliceosome /// protein binding /// nucleus /// cytoplasm /// cytosol /// focal adhesion /// mRNA polyadenylation /// translation /// translational initiation /// protein C-terminus binding /// poly(A) binding /// poly(A) binding /// poly(U) RNA binding /// translation activator activity /// gene expression /// cytoplasmic stress granule /// membrane /// ribonucleoprotein complex /// gene silencing by RNA /// cytoplasmic ribonucleoprotein granule /// regulation of mRNA stability /// cellular protein metabolic process /// poly(A) RNA binding /// positive regulation of translation /// mRNA stabilization /// positive regulation of nuclear-transcribed mRNA poly(A) tail shortening /// extracellular exosome /// catalytic step 2 spliceosome /// positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay /// negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay /// nuclear-transcribed mRNA catabolic process, nonsense-mediated decay /// nucleic acid binding /// RNA binding /// nucleus /// spliceosomal complex /// cytoplasm /// mRNA processing /// RNA splicing /// mRNA binding	full-length
8152111	zinc finger protein 706	ZNF706	51123	8q22.3	nucleus /// cytoplasm /// regulation of translation /// negative regulation of transcription, DNA-templated /// metal ion binding /// negative regulation of stem cell population maintenance /// nucleus /// cytoplasm /// negative regulation of transcription, DNA-templated /// negative regulation of stem cell population maintenance	full-length
8152117	---	---	---	8q22.3	---	---
